type, percent, model
neural_vocoder_autoregressive, 13.68, resnet conf-1
traditional_vocoder, 4.58, resnet conf-1
neural_vocoder_nonautoregressive, 2.88, resnet conf-1
waveform_concatenation, 17.23, resnet conf-1
unknown, 5.29, resnet conf-1
bonafide, 5.12, resnet conf-1
neural_vocoder_autoregressive, 14.08, linear conf-2
traditional_vocoder, 3.54, linear conf-2
neural_vocoder_nonautoregressive, 3.39, linear conf-2
waveform_concatenation, 14.50, linear conf-2
unknown, 8.30, linear conf-2
bonafide, 4.98, linear conf-2
neural_vocoder_autoregressive, 5.52, linear conf-3
traditional_vocoder, 0.42, linear conf-3
neural_vocoder_nonautoregressive, 0.20, linear conf-3
waveform_concatenation, 11.16, linear conf-3
unknown, 0.75, linear conf-3
bonafide, 1.43, linear conf-3
neural_vocoder_autoregressive, 10.62, xinwang
traditional_vocoder, 0.66, xinwang
neural_vocoder_nonautoregressive, 1.08, xinwang
waveform_concatenation, 9.39, xinwang
unknown, 2.85, xinwang
bonafide, 2.68, xinwang
neural_vocoder_autoregressive, 6.28, aasist-ssl
traditional_vocoder, 1.37, aasist-ssl
neural_vocoder_nonautoregressive, 0.62, aasist-ssl
waveform_concatenation, 1.46, aasist-ssl
unknown, 1.75, aasist-ssl
bonafide, 1.87, aasist-ssl
